Date,Ticker,Action
2015-01-01,AAPL,ADD
2015-01-01,ABNB,ADD
2015-01-01,ADBE,ADD
2015-01-01,ADI,ADD
2015-01-01,ADP,ADD
2015-01-01,ADSK,ADD
2015-01-01,AEP,ADD
2015-01-01,AMAT,ADD
2015-01-01,AMD,ADD
2015-01-01,AMGN,ADD
2015-01-01,AMZN,ADD
2015-01-01,APP,ADD
2015-01-01,ARM,ADD
2015-01-01,ASML,ADD
2015-01-01,AVGO,ADD
2015-01-01,AXON,ADD
2015-01-01,AZN,ADD
2015-01-01,BIIB,ADD
2015-01-01,BKNG,ADD
2015-01-01,BKR,ADD
2015-01-01,CCEP,ADD
2015-01-01,CDNS,ADD
2015-01-01,CDW,ADD
2015-01-01,CEG,ADD
2015-01-01,CHTR,ADD
2015-01-01,CMCSA,ADD
2015-01-01,COST,ADD
2015-01-01,CPRT,ADD
2015-01-01,CRWD,ADD
2015-01-01,CSCO,ADD
2015-01-01,CSGP,ADD
2015-01-01,CSX,ADD
2015-01-01,CTAS,ADD
2015-01-01,CTSH,ADD
2015-01-01,DASH,ADD
2015-01-01,DDOG,ADD
2015-01-01,DXCM,ADD
2015-01-01,EA,ADD
2015-01-01,EXC,ADD
2015-01-01,FANG,ADD
2015-01-01,FAST,ADD
2015-01-01,FTNT,ADD
2015-01-01,GEHC,ADD
2015-01-01,GFS,ADD
2015-01-01,GILD,ADD
2015-01-01,GOOG,ADD
2015-01-01,GOOGL,ADD
2015-01-01,HON,ADD
2015-01-01,IDXX,ADD
2015-01-01,INTC,ADD
2015-01-01,INTU,ADD
2015-01-01,ISRG,ADD
2015-01-01,KDP,ADD
2015-01-01,KHC,ADD
2015-01-01,KLAC,ADD
2015-01-01,LIN,ADD
2015-01-01,LRCX,ADD
2015-01-01,LULU,ADD
2015-01-01,MAR,ADD
2015-01-01,MCHP,ADD
2015-01-01,MDLZ,ADD
2015-01-01,MELI,ADD
2015-01-01,META,ADD
2015-01-01,MNST,ADD
2015-01-01,MRVL,ADD
2015-01-01,MSFT,ADD
2015-01-01,MSTR,ADD
2015-01-01,MU,ADD
2015-01-01,NFLX,ADD
2015-01-01,NVDA,ADD
2015-01-01,NXPI,ADD
2015-01-01,ODFL,ADD
2015-01-01,ON,ADD
2015-01-01,ORLY,ADD
2015-01-01,PANW,ADD
2015-01-01,PAYX,ADD
2015-01-01,PCAR,ADD
2015-01-01,PDD,ADD
2015-01-01,PEP,ADD
2015-01-01,PLTR,ADD
2015-01-01,PYPL,ADD
2015-01-01,QCOM,ADD
2015-01-01,REGN,ADD
2015-01-01,ROP,ADD
2015-01-01,ROST,ADD
2015-01-01,SBUX,ADD
2015-01-01,SHOP,ADD
2015-01-01,SNPS,ADD
2015-01-01,TEAM,ADD
2015-01-01,TMUS,ADD
2015-01-01,TRI,ADD
2015-01-01,TSLA,ADD
2015-01-01,TTD,ADD
2015-01-01,TTWO,ADD
2015-01-01,TXN,ADD
2015-01-01,VRSK,ADD
2015-01-01,VRTX,ADD
2015-01-01,WBD,ADD
2015-01-01,WDAY,ADD
2015-01-01,XEL,ADD
2015-01-01,ZS,ADD
2015-01-02,AAL,ADD
2015-01-02,AKAM,ADD
2015-01-02,ALTR,ADD
2015-01-02,ALXN,ADD
2015-01-02,ATVI,ADD
2015-01-02,BBBY,ADD
2015-01-02,BIDU,ADD
2015-01-02,BRCM,ADD
2015-01-02,CA,ADD
2015-01-02,CELG,ADD
2015-01-02,CERN,ADD
2015-01-02,CHKP,ADD
2015-01-02,CHRW,ADD
2015-01-02,CTRX,ADD
2015-01-02,CTXS,ADD
2015-01-02,DISCA,ADD
2015-01-02,DISH,ADD
2015-01-02,DLTR,ADD
2015-01-02,DTV,ADD
2015-01-02,EBAY,ADD
2015-01-02,EQIX,ADD
2015-01-02,ESRX,ADD
2015-01-02,EXPD,ADD
2015-01-02,FI,ADD
2015-01-02,FOX,ADD
2015-01-02,FOXA,ADD
2015-01-02,GMCR,ADD
2015-01-02,GRMN,ADD
2015-01-02,HSIC,ADD
2015-01-02,ILMN,ADD
2015-01-02,KRFT,ADD
2015-01-02,LBTYA,ADD
2015-01-02,LBTYK,ADD
2015-01-02,LLTC,ADD
2015-01-02,LMCA,ADD
2015-01-02,LMCK,ADD
2015-01-02,MAT,ADD
2015-01-02,MYL,ADD
2015-01-02,NDOI,ADD
2015-01-02,NLOK,ADD
2015-01-02,NTAP,ADD
2015-01-02,QRTEA,ADD
2015-01-02,SBAC,ADD
2015-01-02,SIAL,ADD
2015-01-02,SIRI,ADD
2015-01-02,SNDK,ADD
2015-01-02,SPLS,ADD
2015-01-02,SRCL,ADD
2015-01-02,STX,ADD
2015-01-02,TCOM,ADD
