permno,namebegdt,nameenddt,ticker,comnam,exchcd,shrcd
10001,2010-07-09,2017-08-03,EGAS,GAS NATURAL INC,2,11
10025,2009-01-30,2017-01-20,AEPI,A E P INDUSTRIES INC,3,11
10026,2000-08-01,2024-12-31,JJSF,J & J SNACK FOODS CORP,3,11
10028,2012-11-15,2019-12-17,DGSE,D G S E COMPANIES INC,2,11
10028,2019-12-18,2024-12-31,ELA,ENVELA CORP,2,11
10032,1986-02-05,2024-12-31,PLXS,PLEXUS CORP,3,11
10044,1988-08-01,2015-03-01,RMCF,ROCKY MOUNTAIN CHOCOLATE FAC INC,3,11
10044,2015-03-02,2024-12-31,RMCF,ROCKY MOUNTAIN CHOC FAC INC NEW,3,11
10051,2012-06-14,2016-02-28,HGR,HANGER INC,1,11
10051,2016-02-29,2018-09-11,,HANGER INC,0,11
10051,2018-09-12,2020-02-13,HNGR,HANGER INC,1,11
10051,2020-02-14,2022-10-03,HNGR,HANGER INC,1,11
10065,2001-08-24,2019-08-08,ADX,ADAMS EXPRESS CO,1,14
10065,2019-08-09,2024-12-31,ADX,ADAMS EXPRESS CO,1,14
10066,2008-01-22,2021-03-28,,FRANKLIN WIRELESS CORP,0,11
10066,2021-03-29,2024-12-31,FKWL,FRANKLIN WIRELESS CORP,3,11
10104,2013-07-15,2023-06-26,ORCL,ORACLE CORP,1,11
10104,2023-06-27,2024-12-31,ORCL,ORACLE CORP,1,11
10107,1986-03-13,2024-12-31,MSFT,MICROSOFT CORP,3,11
10113,2010-07-21,2021-06-02,AADR,ADVISORSHARES TRUST,4,73
10113,2021-06-03,2024-12-31,AADR,ADVISORSHARES TRUST,3,73
10116,2008-02-04,2015-08-27,ACUR,ACURA PHARMACEUTICALS INC,3,11
10116,2015-08-28,2017-02-22,ACUR,ACURA PHARMACEUTICALS INC,3,11
10138,2000-12-29,2024-12-31,TROW,T ROWE PRICE GROUP INC,3,11
10145,2014-01-27,2017-01-29,HON,HONEYWELL INTERNATIONAL INC,1,11
10145,2017-01-30,2021-04-05,HON,HONEYWELL INTERNATIONAL INC,1,11
10145,2021-04-06,2021-05-10,HON,HONEYWELL INTERNATIONAL INC,1,11
10145,2021-05-11,2024-12-31,HON,HONEYWELL INTERNATIONAL INC,3,11
10147,1998-10-01,2016-09-06,EMC,E M C CORP MA,1,11
10151,2011-12-01,2015-08-07,AGLS,ADVISORSHARES TRUST,4,73
10158,2011-06-17,2019-09-08,AMRC,AMERESCO INC,1,11
10158,2019-09-09,2022-11-08,AMRC,AMERESCO INC,1,11
10158,2022-11-09,2024-12-31,AMRC,AMERESCO INC,1,11
10180,2007-02-07,2020-05-29,AKRX,AKORN INC,3,11
10182,1999-07-01,2020-06-29,TECD,TECH DATA CORP,3,11
10200,1989-09-01,2024-12-31,RGEN,REPLIGEN CORP,3,11
10201,2010-07-23,2021-03-28,AT,ATLANTIC POWER CORP,1,12
10201,2021-03-29,2021-05-14,AT,ATLANTIC POWER CORP,1,12
10207,1999-05-10,2015-03-08,FUND,ROYCE FOCUS TRUST INC,3,14
10207,2015-03-09,2024-12-31,FUND,SPROTT FOCUS TRUST INC,3,14
10220,2011-06-17,2015-06-30,BWC,BABCOCK & WILCOX CO NEW,1,11
10220,2015-07-01,2024-06-20,BWXT,B W X TECHNOLOGIES INC,1,11
10220,2024-06-21,2024-12-31,BWXT,B W X TECHNOLOGIES INC,1,11
10232,2012-06-05,2022-05-13,ESBK,ELMIRA SAVINGS BANK NY,3,11
10239,1986-05-09,2018-07-31,BWINB,BALDWIN & LYONS INC,3,11
10239,2018-08-01,2021-05-28,PTVCB,PROTECTIVE INSURANCE CORP,3,11
10252,1999-07-01,2024-12-31,INDB,INDEPENDENT BANK CORP MA,3,11
10253,2011-07-11,2016-08-25,DSS,DOCUMENT SECURITY SYSTEMS INC,2,11
10253,2016-08-26,2020-05-07,DSS,DOCUMENT SECURITY SYSTEMS INC,2,11
10253,2020-05-08,2021-09-30,DSS,DOCUMENT SECURITY SYSTEMS INC,2,11
10253,2021-10-01,2024-01-04,DSS,D S S INC,2,11
10253,2024-01-05,2024-12-31,DSS,D S S INC,2,11
10257,2012-06-27,2024-12-31,DLHC,D L H HOLDINGS CORP,3,11
10258,2008-10-01,2019-02-10,CLDX,CELLDEX THERAPEUTICS INC,3,11
10258,2019-02-11,2024-12-31,CLDX,CELLDEX THERAPEUTICS INC,3,11
10259,1986-05-15,2018-08-24,SIGM,SIGMA DESIGNS INC,3,11
10294,2011-06-10,2021-02-15,HVT,HAVERTY FURNITURE COS INC,1,11
10294,2021-02-16,2024-08-05,HVT,HAVERTY FURNITURE COS INC,1,11
10294,2024-08-06,2024-12-31,HVT,HAVERTY FURNITURE COS INC,1,11
10297,1999-03-01,2015-05-31,NHTB,NEW HAMPSHIRE THRIFT BNCSHRS INC,3,11
10297,2015-06-01,2017-01-13,LSBG,LAKE SUNAPEE BANK GROUP,3,11
10299,1986-05-28,2017-03-10,LLTC,LINEAR TECHNOLOGY CORP,3,11
10302,2009-11-12,2020-04-15,CY,CYPRESS SEMICONDUCTOR CORP,3,11
10308,2011-06-13,2024-12-31,TMP,TOMPKINS FINANCIAL CORP,2,11
10318,2006-12-22,2024-12-31,BCPC,BALCHEM CORP,3,11
10333,2012-01-03,2016-10-17,XOMA,XOMA CORP,3,11
10333,2016-10-18,2024-07-09,XOMA,XOMA CORP,3,11
10333,2024-07-10,2024-12-31,XOMA,XOMA ROYALTY CORP,3,11
10353,2014-06-19,2015-07-06,,STELL EXCEL INC,0,11
10353,2015-07-07,2016-03-31,SXCL,STEEL EXCEL INC,3,11
10355,1987-04-08,2024-12-31,DJCO,DAILY JOURNAL CORP,3,11
10363,2007-07-25,2020-11-13,AMAG,A M A G PHARMACEUTICALS INC,3,11
10375,2002-01-02,2017-05-07,TCB,T C F FINANCIAL CORP,1,11
10375,2017-05-08,2019-07-31,TCF,T C F FINANCIAL CORP,1,11
10382,1986-06-18,2024-12-31,ASTE,ASTEC INDUSTRIES INC,3,11
10395,1986-06-19,2019-05-22,NAVG,NAVIGATORS GROUP INC,3,11
10397,1986-06-20,2024-12-31,WERN,WERNER ENTERPRISES INC,3,11
10421,1999-07-01,2024-12-31,SKYW,SKYWEST INC,3,11
10443,2014-12-05,2024-12-31,FRPH,F R P HOLDINGS INC,3,11
10463,1989-09-01,2024-12-31,REFR,RESEARCH FRONTIERS INC,3,11
10501,1986-07-18,2024-12-31,AMWD,AMERICAN WOODMARK CORP,3,11
10514,1994-09-22,2019-08-14,TWMC,TRANS WORLD ENTERTAINMENT CORP,3,11
10514,2019-08-15,2020-09-07,TWMC,TRANS WORLD ENTERTAINMENT CORP,3,11
10514,2020-09-08,2023-06-09,KSPN,KASPIEN HOLDINGS INC,3,11
10516,2012-10-31,2024-12-31,ADM,ARCHER DANIELS MIDLAND CO,1,11
10517,2010-12-13,2020-04-20,AAN,AARONS INC,1,11
10517,2020-04-21,2020-10-18,AAN,AARONS INC,1,11
10517,2020-10-19,2020-11-30,AAN,AARONS HOLDINGS CO INC,1,11
10517,2020-12-01,2024-06-19,PRG,PROG HOLDINGS INC,1,11
10517,2024-06-20,2024-11-03,PRG,PROG HOLDINGS INC,1,11
10517,2024-11-04,2024-12-31,PRG,PROG HOLDINGS INC,1,11
10530,2001-01-25,2023-01-30,VIVO,MERIDIAN BIOSCIENCE INC,3,11
10547,2008-01-02,2024-12-31,CLFD,CLEARFIELD INC,3,11
10550,2010-06-18,2024-12-31,PDEX,PRO DEX INC COLO,3,11
10606,2003-10-15,2019-09-10,WTS,WATTS WATER TECHNOLOGIES INC,1,11
10606,2019-09-11,2022-04-13,WTS,WATTS WATER TECHNOLOGIES INC,1,11
10606,2022-04-14,2024-12-31,WTS,WATTS WATER TECHNOLOGIES INC,1,11
10629,2011-06-10,2024-06-20,FNB,F N B CORP PA,1,11
10629,2024-06-21,2024-12-31,FNB,F N B CORP PA,1,11
10645,1989-09-01,2024-12-31,LAKE,LAKELAND INDUSTRIES INC,3,11
10649,1986-09-10,2024-11-11,PTSI,P A M TRANSPORTATION SVCS INC,3,11
10649,2024-11-12,2024-12-31,PAMT,P A M T CORP,3,11
10656,1986-04-01,2019-04-02,ACET,ACETO CORP,3,11
10659,1993-11-24,2015-08-19,BRLI,BIO REFERENCE LABORATORIES INC,3,11
10661,2006-11-06,2024-02-16,CYAN,CYANOTECH CORP,3,11
10667,2006-08-25,2016-06-01,FSYS,FUEL SYSTEMS SOLUTIONS INC,3,11
10693,2006-10-26,2016-12-08,HLS,HEALTHSOUTH CORP,1,11
10693,2016-12-09,2018-01-01,HLS,HEALTHSOUTH CORP,1,11
10693,2018-01-02,2024-12-31,EHC,ENCOMPASS HEALTH CORP,1,11
10696,1986-09-25,2023-06-06,FISV,FISERV INC,3,11
10696,2023-06-07,2024-12-31,FI,FISERV INC,1,11
10777,1999-07-01,2024-12-31,FCNCA,FIRST CITIZENS BANCSHARES INC NC,3,11
10779,2005-10-14,2018-06-04,RWC,RELM WIRELESS CORP,2,11
10779,2018-06-05,2019-03-28,BKTI,B K TECHNOLOGIES INC,2,11
10779,2019-03-29,2023-04-23,BKTI,B K TECHNOLOGIES CORP,2,11
10779,2023-04-24,2024-12-31,BKTI,B K TECHNOLOGIES CORP,2,11
10781,1995-04-17,2023-09-14,BKSC,BANK SOUTH CAROLINA CORP,3,11
10812,1986-11-05,2024-12-31,HTLD,HEARTLAND EXPRESS INC,3,11
10838,2012-05-16,2017-10-31,CYTR,CYTRX CORP,3,11
10838,2017-11-01,2019-06-03,CYTR,CYTRX CORP,3,11
10853,2000-08-01,2016-01-29,RENT,RENTRAK CORP,3,11
10860,2000-10-02,2024-12-31,OSUR,ORASURE TECHNOLOGIES INC,3,11
